user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
16496710	0.0029	0.995	0.0003	0.0018	0.0017	0.9983	0.0	1.0
25793174	0.0399	0.8054	0.0019	0.1528	0.003	0.997	0.0	1.0
2917078344	0.46	0.0221	0.5036	0.0142	0.0027	0.9973	0.0	1.0
392672921	0.18	0.4872	0.0147	0.318	0.0638	0.9362	0.0008	0.9992
55514310	0.1662	0.152	0.0264	0.6555	0.9897	0.0103	0.0005	0.9995
2857829498	0.247	0.2532	0.0129	0.487	0.0095	0.9905	0.0	1.0
2889270605	0.9984	0.0008	0.0006	0.0002	0.2547	0.7453	0.0	1.0
952354026170941440	0.0035	0.0012	0.0003	0.9949	0.163	0.837	0.0001	0.9999
940318129	0.0	0.0001	0.0	0.9999	0.0003	0.9997	0.0001	0.9999
2419977829	0.1636	0.0884	0.0219	0.7261	0.0011	0.9989	0.0	1.0
1614563336	0.8151	0.0942	0.0335	0.0571	0.0022	0.9978	0.0	1.0
426370586	0.0525	0.0327	0.049	0.8658	0.8656	0.1344	0.3434	0.6566
491151645	0.1537	0.8432	0.0024	0.0007	0.9991	0.0009	0.0	1.0
33861752	0.0001	0.0005	0.0	0.9994	0.9995	0.0005	0.0143	0.9857
723443392244383746	0.0107	0.7116	0.0038	0.274	0.9949	0.0051	0.0001	0.9999
21173759	0.5504	0.2281	0.0691	0.1524	0.4968	0.5032	0.0002	0.9998
14693921	0.1422	0.7885	0.0453	0.024	0.0019	0.9981	0.0	1.0
38116692	0.0079	0.9734	0.0002	0.0185	0.0005	0.9995	0.0004	0.9996
496554610	0.003	0.9968	0.0	0.0002	0.0001	0.9999	0.0	1.0
1547833069	0.0219	0.8756	0.0229	0.0796	0.0141	0.9859	0.0024	0.9976
264552479	0.1161	0.0608	0.0137	0.8094	0.9813	0.0187	0.0002	0.9998
1209089749475966978	0.1948	0.0105	0.5566	0.2381	0.1382	0.8618	0.0711	0.9289
43657966	0.801	0.0184	0.1726	0.008	0.019	0.981	0.0002	0.9998
400919705	0.2401	0.3115	0.1278	0.3206	0.0182	0.9818	0.5288	0.4712
1386619502	0.4688	0.0265	0.4961	0.0086	0.9381	0.0619	0.0	1.0
461569505	0.4498	0.4719	0.0313	0.047	0.9771	0.0229	0.0001	0.9999
34581515	0.5	0.2699	0.1834	0.0466	0.0216	0.9784	0.0001	0.9999
854992775640567808	0.0139	0.9852	0.0005	0.0005	0.7575	0.2425	0.0	1.0
868101092676050944	0.059	0.8952	0.004	0.0419	0.9995	0.0005	0.0	1.0
1075725294168723456	0.3134	0.6518	0.0154	0.0194	0.0013	0.9987	0.0	1.0
1151124076619943936	0.5268	0.0031	0.467	0.0031	0.8995	0.1005	0.0	1.0
1213357109879771136	0.2905	0.1573	0.0665	0.4857	0.9916	0.0084	0.0111	0.9889
1213357109879771136	0.2905	0.1573	0.0665	0.4857	0.9916	0.0084	0.0111	0.9889
953229383044493313	0.2684	0.2049	0.0364	0.4903	0.0014	0.9986	0.0	1.0
3503703673	0.1689	0.7944	0.0098	0.0269	0.9999	0.0001	0.0024	0.9976
351539542	0.5518	0.4309	0.0097	0.0076	0.9997	0.0003	0.0	1.0
61707963	0.0182	0.002	0.0127	0.9671	0.9995	0.0005	0.111	0.889
91952717	0.0047	0.0042	0.0031	0.988	0.0035	0.9965	0.0011	0.9989
373306465	0.3197	0.4436	0.0369	0.1998	0.1061	0.8939	0.0222	0.9778
1688325404	0.0041	0.0033	0.0013	0.9913	0.0019	0.9981	0.0001	0.9999
1159439457281384448	0.0037	0.005	0.006	0.9853	0.0043	0.9957	0.5068	0.4932
578416781	0.0014	0.0026	0.0018	0.9942	0.001	0.999	0.001	0.999
1113207357272547329	0.5948	0.2197	0.1374	0.0481	0.9996	0.0004	0.0	1.0
786381114138951680	0.0015	0.0009	0.0003	0.9973	0.9977	0.0023	0.0001	0.9999
22465255	0.2607	0.4449	0.0243	0.2701	0.0019	0.9981	0.0	1.0
248458191	0.0534	0.0913	0.0073	0.848	0.0	1.0	0.0001	0.9999
33872728	0.0495	0.7268	0.0017	0.2221	0.0108	0.9892	0.0002	0.9998
99367063	0.0247	0.946	0.0261	0.0032	0.0149	0.9851	0.0195	0.9805
246166484	0.014	0.0356	0.0017	0.9487	0.001	0.999	0.0	1.0
20947591	0.0113	0.001	0.0028	0.9849	0.0013	0.9987	0.0	1.0
2769051426	0.0101	0.0036	0.0112	0.9751	0.3043	0.6957	0.8575	0.1425
164786871	0.0216	0.5987	0.007	0.3727	0.8629	0.1371	0.0099	0.9901
1381230535	0.0011	0.9965	0.0	0.0023	0.0006	0.9994	0.0	1.0
41547837	0.8641	0.0033	0.1297	0.0029	0.9065	0.0935	0.0001	0.9999
1233279416	0.0018	0.9981	0.0	0.0001	0.0115	0.9885	0.0	1.0
1080305226328956928	0.5092	0.3477	0.07	0.073	0.0015	0.9985	0.0	1.0
40077941	0.2029	0.587	0.0212	0.1888	0.9668	0.0332	0.0	1.0
491151645	0.1537	0.8432	0.0024	0.0007	0.9991	0.0009	0.0	1.0
1220105813362008064	0.1856	0.0464	0.7213	0.0466	0.8997	0.1003	0.0002	0.9998
14927868	0.0713	0.0718	0.0817	0.7751	0.0041	0.9959	0.01	0.99
342739410	0.0051	0.1097	0.0002	0.8851	0.9984	0.0016	0.0002	0.9998
28282727	0.0006	0.1733	0.0001	0.8261	0.0001	0.9999	0.0009	0.9991
290962989	0.783	0.0039	0.2094	0.0037	0.9773	0.0227	0.0	1.0
157348133	0.1053	0.6978	0.0008	0.1962	0.0001	0.9999	0.0001	0.9999
988011714766491648	0.5284	0.0045	0.4339	0.0332	0.0019	0.9981	0.0	1.0
214388076	0.0124	0.9833	0.0003	0.0041	0.0008	0.9992	0.0001	0.9999
28282727	0.0006	0.1733	0.0001	0.8261	0.0001	0.9999	0.0009	0.9991
54874945	0.044	0.9397	0.0021	0.0142	0.9945	0.0055	0.0001	0.9999
707048806982889472	0.0009	0.0013	0.0007	0.9972	0.9997	0.0003	0.5503	0.4497
65078525	0.0267	0.0877	0.0022	0.8834	0.0	1.0	0.0	1.0
21451212	0.8309	0.0215	0.1349	0.0127	0.6492	0.3508	0.0002	0.9998
21871675	0.0034	0.994	0.0002	0.0024	0.9998	0.0002	0.0	1.0
151839040	0.8894	0.0189	0.0409	0.0508	0.0024	0.9976	0.0	1.0
466431501	0.0146	0.9642	0.0023	0.019	0.7334	0.2666	0.877	0.123
328387519	0.0419	0.8992	0.004	0.0548	0.9979	0.0021	0.0004	0.9996
260499979	0.5748	0.3042	0.074	0.0469	0.0022	0.9978	0.0003	0.9997
256877118	0.8245	0.0246	0.0601	0.0908	0.0003	0.9997	0.0	1.0
1212681581527064576	0.6601	0.1038	0.2174	0.0187	0.0051	0.9949	0.4861	0.5139
55514310	0.1662	0.152	0.0264	0.6555	0.9897	0.0103	0.0005	0.9995
25276743	0.9458	0.0384	0.0065	0.0093	0.0004	0.9996	0.0	1.0
69042924	0.2184	0.0617	0.3636	0.3562	0.9191	0.0809	0.2999	0.7001
570408824	0.1633	0.5615	0.0136	0.2616	0.0016	0.9984	0.0	1.0
2183674998	0.0034	0.0045	0.0005	0.9917	0.0005	0.9995	0.0002	0.9998
437266662	0.0777	0.1077	0.1183	0.6963	0.0024	0.9976	0.0001	0.9999
15902371	0.0552	0.7184	0.0047	0.2217	0.0002	0.9998	0.0	1.0
19184406	0.9692	0.0124	0.0053	0.0131	0.9951	0.0049	0.0	1.0
203001621	0.3322	0.5822	0.0143	0.0712	0.9982	0.0018	0.0	1.0
888330997502058496	0.3102	0.0232	0.0052	0.6614	0.9977	0.0023	0.0024	0.9976
18929201	0.0001	0.0001	0.0001	0.9998	0.0001	0.9999	0.0004	0.9996
53292926	0.0005	0.0006	0.0002	0.9987	0.9995	0.0005	0.0006	0.9994
104063875	0.0029	0.0003	0.0154	0.9814	0.0004	0.9996	0.0001	0.9999
14427783	0.1773	0.6877	0.1044	0.0306	0.0036	0.9964	0.0002	0.9998
50969798	0.0358	0.0044	0.0038	0.9559	0.0001	0.9999	0.0	1.0
338947728	0.9763	0.0177	0.0046	0.0013	0.9969	0.0031	0.0	1.0
15818730	0.1713	0.3548	0.1592	0.3148	0.007	0.993	0.0261	0.9739
196927134	0.0488	0.1862	0.0061	0.7589	0.0	1.0	0.0092	0.9908
16901867	0.8064	0.0992	0.0792	0.0152	0.5147	0.4853	0.0021	0.9979
63016433	0.1793	0.589	0.143	0.0888	0.0156	0.9844	0.0024	0.9976
378035940	0.8535	0.0011	0.145	0.0005	1.0	0.0	0.0001	0.9999
40854301	0.0105	0.9886	0.0004	0.0004	0.7882	0.2118	0.0001	0.9999
585696912	0.0631	0.7358	0.0011	0.2	0.0006	0.9994	0.0001	0.9999
26993187	0.5397	0.0912	0.3407	0.0284	0.9774	0.0226	0.0001	0.9999
864487046	0.8329	0.1525	0.0031	0.0115	0.9964	0.0036	0.0	1.0
2149938104	0.124	0.252	0.0127	0.6114	0.0009	0.9991	0.0038	0.9962
2954323969	0.1845	0.0643	0.2619	0.4893	0.0068	0.9932	0.8131	0.1869
76521894	0.4198	0.3639	0.0241	0.1921	0.0027	0.9973	0.0002	0.9998
261774526	0.9007	0.0126	0.0632	0.0234	0.0018	0.9982	0.0	1.0
