user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
3007333878	0.4005	0.4995	0.0729	0.0271	0.4215	0.5785	0.0109	0.9891
76543972	0.9977	0.0002	0.0015	0.0006	0.9891	0.0109	0.0	1.0
27624341	0.4582	0.3591	0.0832	0.0994	0.9973	0.0027	0.0	1.0
4686937518	0.0582	0.2257	0.0061	0.7099	0.0006	0.9994	0.0001	0.9999
854992775640567808	0.0139	0.9852	0.0005	0.0005	0.7575	0.2425	0.0	1.0
2243786479	0.3334	0.0219	0.6428	0.0018	0.9577	0.0423	0.0	1.0
2885602614	0.0266	0.9669	0.001	0.0055	0.999	0.001	0.0	1.0
1183927615767240706	0.7833	0.0034	0.2112	0.0021	0.9392	0.0608	0.0	1.0
930095618839666688	0.7131	0.0031	0.2832	0.0006	0.8665	0.1335	0.0	1.0
99367063	0.0247	0.946	0.0261	0.0032	0.0149	0.9851	0.0195	0.9805
21826627	0.0111	0.0096	0.0114	0.9678	0.0006	0.9994	0.0006	0.9994
1033532276464738305	0.6544	0.0628	0.2776	0.0052	0.9928	0.0072	0.0	1.0
1261723238	0.2141	0.5618	0.0164	0.2076	0.0109	0.9891	0.0053	0.9947
984709840474857473	0.0182	0.1084	0.0048	0.8686	0.3608	0.6392	0.0065	0.9935
269585322	0.0007	0.0004	0.0002	0.9987	0.3531	0.6469	0.9254	0.0746
324117356	0.5214	0.3358	0.1128	0.03	0.0012	0.9988	0.0007	0.9993
3035347339	0.0055	0.7254	0.0032	0.2659	0.0025	0.9975	0.0023	0.9977
838902585184542720	0.5587	0.0172	0.3377	0.0864	0.1062	0.8938	0.0022	0.9978
826332877457481728	0.0934	0.1305	0.6365	0.1395	0.9976	0.0024	0.0005	0.9995
39689940	0.0	0.0001	0.0	0.9999	0.93	0.07	0.0032	0.9968
3236536471	0.1398	0.0127	0.8404	0.0072	0.5669	0.4331	0.0003	0.9997
912146752093937666	0.7584	0.1643	0.0564	0.0209	0.1452	0.8548	0.0002	0.9998
15815709	0.007	0.5527	0.002	0.4383	0.9974	0.0026	0.0002	0.9998
54338252	0.0382	0.9167	0.0016	0.0434	0.0001	0.9999	0.0001	0.9999
1652439061	0.3546	0.5883	0.0399	0.0172	0.0128	0.9872	0.0004	0.9996
178633254	0.5596	0.0904	0.3426	0.0074	0.6885	0.3115	0.9131	0.0869
92967006	0.2374	0.3419	0.0692	0.3515	0.001	0.999	0.0854	0.9146
352579709	0.0519	0.7318	0.0032	0.2131	0.0045	0.9955	0.0	1.0
2244014227	0.6584	0.1438	0.1549	0.0429	0.0032	0.9968	0.0	1.0
739770745572622337	0.0596	0.9207	0.0033	0.0164	0.992	0.008	0.2738	0.7262
614090734	0.4968	0.0009	0.5021	0.0002	0.9858	0.0142	0.0	1.0
2879122501	0.5492	0.0024	0.4474	0.0011	0.9479	0.0521	0.0	1.0
405369318	0.752	0.0894	0.1322	0.0264	0.0008	0.9992	0.0	1.0
1270082504	0.0449	0.0042	0.9141	0.0368	0.5706	0.4294	0.0519	0.9481
2847795011	0.0056	0.0578	0.001	0.9356	0.0002	0.9998	0.0	1.0
4322041158	0.0949	0.8399	0.0561	0.0091	0.986	0.014	0.0008	0.9992
45082673	0.8088	0.1448	0.0067	0.0398	0.9969	0.0031	0.0	1.0
865970382	0.1184	0.161	0.6983	0.0222	0.8052	0.1948	0.0001	0.9999
1197242703605420032	0.8353	0.0464	0.1134	0.0048	0.9912	0.0088	0.0	1.0
19277529	0.1353	0.7908	0.0334	0.0405	0.1367	0.8633	0.0012	0.9988
73087673	0.5849	0.1921	0.2211	0.0018	0.0087	0.9913	0.0	1.0
839934611283038208	0.4618	0.3804	0.0997	0.0581	0.997	0.003	0.0	1.0
201218361	0.3221	0.545	0.0285	0.1043	0.9992	0.0008	0.2021	0.7979
46074374	0.429	0.455	0.0645	0.0516	0.0056	0.9944	0.002	0.998
45333933	0.0315	0.9653	0.003	0.0002	0.0053	0.9947	0.0	1.0
