user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
753821636814528513	0.4185	0.2235	0.3489	0.0091	0.991	0.009	0.0	1.0
753821636814528513	0.4185	0.2235	0.3489	0.0091	0.991	0.009	0.0	1.0
248637302	0.0262	0.9652	0.0014	0.0073	0.0004	0.9996	0.0	1.0
3238329340	0.1363	0.0109	0.8464	0.0064	0.0729	0.9271	0.0012	0.9988
1393083324	0.2964	0.6315	0.0158	0.0563	0.9973	0.0027	0.0001	0.9999
835809553589526530	0.1226	0.296	0.0279	0.5534	0.0005	0.9995	0.0003	0.9997
2172845379	0.057	0.0585	0.0002	0.8843	0.0018	0.9982	0.0002	0.9998
725757546	0.0714	0.6949	0.0008	0.233	0.9992	0.0008	0.0002	0.9998
708125875833712640	0.0217	0.7423	0.0006	0.2354	0.0002	0.9998	0.0001	0.9999
601884300	0.0001	0.0005	0.0001	0.9994	0.9998	0.0002	0.0	1.0
57603874	0.0421	0.1129	0.0117	0.8333	0.9861	0.0139	0.0002	0.9998
359771379	0.1604	0.2188	0.0944	0.5263	0.0012	0.9988	0.0043	0.9957
18327622	0.0261	0.9645	0.0036	0.0058	0.9962	0.0038	0.0004	0.9996
42433319	0.8365	0.0247	0.093	0.0458	0.0449	0.9551	0.0	1.0
1211310836670582785	0.2143	0.0057	0.2932	0.4868	0.0056	0.9944	0.0	1.0
53881485	0.8519	0.0255	0.1136	0.009	0.9936	0.0064	0.0	1.0
1866452389	0.5657	0.0679	0.3473	0.0191	0.1881	0.8119	0.0	1.0
722604391983788032	0.8209	0.012	0.1655	0.0016	0.9158	0.0842	0.0	1.0
489963120	0.0323	0.0226	0.0157	0.9294	0.0021	0.9979	0.0187	0.9813
1173562880215568385	0.3575	0.0393	0.5571	0.0461	0.0093	0.9907	0.0	1.0
713403	0.02	0.0285	0.0005	0.951	0.0777	0.9223	0.0	1.0
310839743	0.2317	0.2101	0.0804	0.4778	0.9975	0.0025	0.0004	0.9996
179873379	0.0546	0.9185	0.0021	0.0249	0.9821	0.0179	0.0	1.0
2421887412	0.7619	0.0481	0.1682	0.0218	0.9957	0.0043	0.0	1.0
1189422979823702017	0.0155	0.8989	0.0006	0.0849	0.0012	0.9988	0.0001	0.9999
1106526190787936257	0.0463	0.0001	0.9536	0.0	0.9564	0.0436	0.0	1.0
282568075	0.9664	0.0144	0.0093	0.0099	0.0355	0.9645	0.0003	0.9997
24984458	0.2465	0.3375	0.3672	0.0488	0.0006	0.9994	0.0001	0.9999
1108565574	0.0002	0.0003	0.0001	0.9995	0.0046	0.9954	0.0045	0.9955
191761621	0.1081	0.752	0.0153	0.1246	0.0003	0.9997	0.0009	0.9991
904072386	0.0325	0.8865	0.0048	0.0761	0.002	0.998	0.0	1.0
63477793	0.0709	0.6938	0.2333	0.002	0.9924	0.0076	0.0	1.0
3007333878	0.4005	0.4995	0.0729	0.0271	0.4215	0.5785	0.0109	0.9891
861252867318890496	0.3924	0.0642	0.5285	0.0148	0.8675	0.1325	0.001	0.999
1580095729	0.2363	0.3458	0.0186	0.3993	0.0002	0.9998	0.0005	0.9995
991902483189383168	0.0401	0.0065	0.9519	0.0014	0.0144	0.9856	0.001	0.999
208944875	0.0364	0.7984	0.0107	0.1545	0.0004	0.9996	0.0301	0.9699
23807739	0.4138	0.3125	0.0404	0.2333	0.9872	0.0128	0.0244	0.9756
2930868324	0.0028	0.0131	0.0004	0.9837	0.0003	0.9997	0.0058	0.9942
27594282	0.0225	0.9138	0.0019	0.0618	0.0005	0.9995	0.0	1.0
2295666326	0.9425	0.0087	0.0452	0.0036	0.037	0.963	0.0	1.0
3444353714	0.9531	0.0309	0.0134	0.0026	0.9954	0.0046	0.0	1.0
237441210	0.9363	0.0461	0.008	0.0096	0.9989	0.0011	0.0	1.0
1008296232261783552	0.452	0.2238	0.2444	0.0798	0.442	0.558	0.8808	0.1192
113312341	0.0365	0.253	0.008	0.7026	0.9902	0.0098	0.0002	0.9998
