user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
1033415300543180801	0.6292	0.2387	0.1186	0.0135	0.997	0.003	0	1
762180289611173888	0.8241	0.0851	0.0585	0.0323	0.8744	0.1256	0.0002	0.9998
20685911	0.7211	0.2229	0.038	0.0181	0.0003	0.9997	0	1
24152815	0.6261	0.2107	0.1368	0.0265	0.0005	0.9995	0	1
746331234	0.0002	0.0009	0.0002	0.9987	0.9998	0.0002	0.0106	0.9894
553975814	0.7788	0.0019	0.2123	0.007	0.9339	0.0661	0	1
41926809	0.0106	0.1116	0.0015	0.8764	0.998	0.002	0.0001	0.9999
228275564	0.0014	0.9979	0.0002	0.0005	0.9883	0.0117	0.0001	0.9999
24903039	0.007	0.9903	0.0001	0.0026	0.9968	0.0032	0.0001	0.9999
924905215	0.0593	0.0296	0.0244	0.8867	0.0338	0.9662	0.006	0.994
22136101	0.006	0.0096	0.0153	0.969	0.0107	0.9893	0.7337	0.2663
2822933882	0.7769	0.0592	0.1359	0.028	0.2842	0.7158	0.0002	0.9998
16272844	0.0027	0.0532	0.0016	0.9425	0.0007	0.9993	0.0001	0.9999
818273644635770880	0.4197	0.0012	0.5782	0.0009	0.0025	0.9975	0	1
2800639055	0.4011	0.039	0.5278	0.032	0.9734	0.0266	0.0002	0.9998
542161838	0.4489	0.4262	0.107	0.018	0.0126	0.9874	0.0008	0.9992
17713543	0.0994	0.877	0.0057	0.0179	0.0019	0.9981	0.0003	0.9997
2764254095	0.5955	0.1444	0.0353	0.2247	0.9914	0.0086	0.0025	0.9975
96040813	0.0003	0.0025	0.0011	0.9961	0.9997	0.0003	0.0574	0.9426
19071298	0.017	0.8124	0.0791	0.0915	0.9976	0.0024	0.0001	0.9999
64862710	0.0035	0.9929	0.0001	0.0035	0.0001	0.9999	0.0001	0.9999
14561166	0.0749	0.8662	0.0024	0.0565	0	1	0.0001	0.9999
79431452	0.4804	0.1675	0.0709	0.2812	0.8236	0.1764	0.0001	0.9999
8994292	0.0006	0.9785	0.0001	0.0209	0.0003	0.9997	0.0001	0.9999
2809812847	0.0568	0.8948	0.0032	0.0452	0.0007	0.9993	0.0012	0.9988
3536335343	0.4919	0.37	0.126	0.0121	0.8169	0.1831	0.0001	0.9999
707855708	0.0006	0.0001	0	0.9992	0.006	0.994	0.7753	0.2247
17163261	0.7275	0.0749	0.1252	0.0724	0.0001	0.9999	0	1
21709299	0.7	0.0706	0.218	0.0113	0.9946	0.0054	0	1
262726439	0.0004	0.0004	0.0001	0.9991	0.0007	0.9993	0.0001	0.9999
92908788	0.8189	0.0452	0.0053	0.1306	0.0004	0.9996	0	1
16080149	0.927	0.0204	0.0466	0.006	0.9856	0.0144	0	1
989251675268378624	0.0977	0.8208	0.0114	0.0702	0.0003	0.9997	0	1
3182178767	0.8778	0.057	0.0133	0.052	0.2757	0.7243	0	1
2564244695	0.676	0.2439	0.0075	0.0726	0.0004	0.9996	0.0001	0.9999
45055271	0.6773	0.078	0.2305	0.0143	0.0043	0.9957	0.0014	0.9986
215396680	0.1961	0.4736	0.0769	0.2534	0.0009	0.9991	0	1
1105482486	0.0034	0.9945	0.0001	0.0021	0.0103	0.9897	0	1
1064933216652414976	0.0209	0.82	0.0026	0.1565	0.001	0.999	0.0002	0.9998
46832144	0.7733	0.002	0.2211	0.0036	0.9951	0.0049	0	1
212491832	0.1791	0.7244	0.0932	0.0033	0.0012	0.9988	0	1
194704550	0.6107	0.1163	0.2322	0.0407	0.996	0.004	0.0006	0.9994
602083718	0.1666	0.0321	0.7018	0.0996	0.8344	0.1656	0.0011	0.9989
145401599	0.7339	0.1617	0.0739	0.0305	0.9984	0.0016	0	1
135620301	0.2401	0.4692	0.0115	0.2792	0.0009	0.9991	0	1
538500008	0.357	0.5847	0.0294	0.0289	0.001	0.999	0.0001	0.9999
145401599	0.7339	0.1617	0.0739	0.0305	0.9984	0.0016	0	1
1060014695174885376	0.3761	0.2372	0.0621	0.3246	0.0399	0.9601	0.0081	0.9919
1974721	0.2041	0.0229	0.749	0.024	0.002	0.998	0.009	0.991
36815303	0.0668	0.1645	0.006	0.7626	0.0047	0.9953	0.0001	0.9999
1208179706	0.0365	0.0756	0.0158	0.8721	0.0698	0.9302	0.0068	0.9932
69071514	0.2864	0.3781	0.0245	0.3111	0.9989	0.0011	0	1
417517047	0	0.0001	0	0.9999	1	0	0.0037	0.9963
500402373	0.3934	0.0196	0.0983	0.4887	0.0048	0.9952	0.0002	0.9998
78330487	0.0426	0.275	0.0053	0.677	0.9942	0.0058	0.0003	0.9997
235365810	0.014	0.3883	0.0125	0.5853	0.0009	0.9991	0.0004	0.9996
708659430565371904	0.1412	0.1517	0.0362	0.6709	0.9933	0.0067	0.0002	0.9998
1060014695174885376	0.3761	0.2372	0.0621	0.3246	0.0399	0.9601	0.0081	0.9919
2804209604	0.0053	0.0026	0.002	0.9902	0.0057	0.9943	0.0001	0.9999
914645294704447490	0.008	0.0005	0.0105	0.981	0.9227	0.0773	0.624	0.376
21546620	0.3376	0.0164	0.6404	0.0057	0.708	0.292	0.0001	0.9999
286398992	0.0073	0.0131	0.0033	0.9763	0.0002	0.9998	0.0001	0.9999
598963711	0.1442	0.3849	0.0097	0.4612	0.9996	0.0004	0	1
1853215974	0.1029	0.8292	0.0581	0.0099	0.8982	0.1018	0.0001	0.9999
2876793787	0.0001	0.0034	0	0.9966	0.0002	0.9998	0.0018	0.9982
161709262	0.0987	0.8353	0.0198	0.0462	0.3886	0.6114	0.957	0.043
269830363	0.004	0.0106	0.0022	0.9832	0.428	0.572	0.8938	0.1062
233018464	0.0278	0.0735	0.0061	0.8927	0.0018	0.9982	0.0001	0.9999
28419308	0.0502	0.511	0.011	0.4278	0.9992	0.0008	0	1
18953515	0.4618	0.3716	0.044	0.1226	0.8913	0.1087	0.0001	0.9999
1589796264	0.4137	0.2619	0.2151	0.1093	0.5882	0.4118	0.0001	0.9999
343434118	0.3722	0.5157	0.0495	0.0627	0.9969	0.0031	0.0003	0.9997
974030256	0	0.0002	0	0.9997	0.0002	0.9998	0.0016	0.9984
20685911	0.7211	0.2229	0.038	0.0181	0.0003	0.9997	0	1
20685911	0.7211	0.2229	0.038	0.0181	0.0003	0.9997	0	1
1584137959	0.0039	0.0074	0.0029	0.9858	0.0031	0.9969	0.0002	0.9998
4210355020	0.2354	0.7565	0.0033	0.0048	0.9967	0.0033	0.0002	0.9998
2366047272	0.2504	0.5981	0.0618	0.0898	0.9955	0.0045	0.0001	0.9999
38677207	0.0174	0.0211	0.0027	0.9589	0.5723	0.4277	0.8958	0.1042
196676353	0.0543	0.8503	0.0031	0.0923	0.0004	0.9996	0.0002	0.9998
24429122	0.0029	0.0018	0.0003	0.995	0.0004	0.9996	0.0001	0.9999
21546620	0.3376	0.0164	0.6404	0.0057	0.708	0.292	0.0001	0.9999
392169168	0.0146	0.0091	0.0037	0.9726	0.0011	0.9989	0.0002	0.9998
174473050	0.0388	0.0434	0.0088	0.9091	0.7575	0.2425	0.001	0.999
71098947	0.0209	0.1561	0.0059	0.817	0.0057	0.9943	0.0001	0.9999
310196749	0.1087	0.8465	0.0003	0.0445	0.9998	0.0002	0	1
117182737	0.0349	0.1551	0.0143	0.7956	0.0128	0.9872	0.8317	0.1683
2962726245	0.3983	0.5678	0.0087	0.0253	0.0802	0.9198	0	1
17198839	0.0382	0.0987	0.0184	0.8447	0.0574	0.9426	0.9053	0.0947
17198839	0.0382	0.0987	0.0184	0.8447	0.0574	0.9426	0.9053	0.0947
1853215974	0.1029	0.8292	0.0581	0.0099	0.8982	0.1018	0.0001	0.9999
3097729518	0.0003	0.0006	0.0003	0.9988	0.9982	0.0018	0.0009	0.9991
28605026	0.1768	0.6885	0.0031	0.1315	0.0058	0.9942	0	1
2288583330	0.4957	0.0132	0.4856	0.0056	0.9955	0.0045	0	1
561821409	0.014	0.0027	0.0057	0.9777	0.8481	0.1519	0.2356	0.7644
2424625776	0.124	0.5672	0.0326	0.2763	0.9417	0.0583	0.9768	0.0232
10495312	0.004	0.264	0.0004	0.7317	0.0002	0.9998	0.003	0.997
602991064	0	0.0005	0	0.9995	0.0001	0.9999	0.0001	0.9999
42713907	0.0038	0.9957	0.0001	0.0004	0.0004	0.9996	0	1
17204460	0.015	0.0976	0.0046	0.8828	0.0008	0.9992	0.0007	0.9993
287985460	0.0131	0.0546	0.0023	0.93	0.9996	0.0004	0.0001	0.9999
3207723184	0.0346	0.8761	0.0008	0.0884	0.0002	0.9998	0.0002	0.9998
1414204058	0.0022	0.9937	0.0002	0.0039	0.0001	0.9999	0.0004	0.9996
22136101	0.006	0.0096	0.0153	0.969	0.0107	0.9893	0.7337	0.2663
194704550	0.6107	0.1163	0.2322	0.0407	0.996	0.004	0.0006	0.9994
98149373	0.5119	0.053	0.2572	0.1779	0.0043	0.9957	0.0029	0.9971
974030256	0	0.0002	0	0.9997	0.0002	0.9998	0.0016	0.9984
841105336090124288	0.0001	0.0003	0.0001	0.9995	0.0002	0.9998	0.0003	0.9997
2573152002	0.072	0.1078	0.0249	0.7952	0.2345	0.7655	0.8762	0.1238
348044335	0.1699	0.2117	0.0801	0.5383	0.2699	0.7301	0.9576	0.0424
908927587862200321	0.9783	0.0147	0.0037	0.0033	0.9989	0.0011	0	1
53555564	0.0085	0.9912	0.0002	0.0002	0.995	0.005	0.0001	0.9999
119953279	0.0145	0.0315	0.0033	0.9507	0.0009	0.9991	0	1
208377762	0.1458	0.0694	0.7429	0.0418	0.012	0.988	0.9488	0.0512
558909188	0	0.0001	0	0.9999	0.0003	0.9997	0.0131	0.9869
434046969	0.5	0.4059	0.0295	0.0646	0.0071	0.9929	0.0003	0.9997
809257446	0.1139	0.8385	0.0057	0.0419	0.0008	0.9992	0.0001	0.9999
2727509571	0.1067	0.0224	0.0856	0.7852	0.0195	0.9805	0.0335	0.9665
599579553	0.0177	0.0072	0.0068	0.9684	0.0114	0.9886	0.8886	0.1114
14240610	0.5494	0.1717	0.2666	0.0123	0.0557	0.9443	0	1
296553576	0.0025	0.0104	0.0044	0.9827	0.0149	0.9851	0.0135	0.9865
381014983	0.1696	0.5169	0.0134	0.3001	0.0128	0.9872	0.0002	0.9998
1026848564868251648	0.0209	0.0227	0.0058	0.9506	0.9676	0.0324	0.6869	0.3131
563112853	0.9599	0.0126	0.0255	0.002	0.9839	0.0161	0	1
475163119	0.5788	0.0014	0.4194	0.0004	0.9958	0.0042	0	1
20285868	0.0163	0.048	0.0074	0.9284	0.0025	0.9975	0.0009	0.9991
196676353	0.0543	0.8503	0.0031	0.0923	0.0004	0.9996	0.0002	0.9998
56604340	0	0	0	0.9999	0.0003	0.9997	0.0003	0.9997
31159047	0.2739	0.4551	0.0636	0.2074	0.0006	0.9994	0.0549	0.9451
808932103	0.3743	0.5982	0.0232	0.0043	0.9999	0.0001	0.0002	0.9998
2604056828	0.3812	0.5731	0.0286	0.0171	0.0007	0.9993	0	1
