user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
68474116	0.9541	0.0214	0.021	0.0036	0.9372	0.0628	0.0	1.0
429506524	0.8998	0.0669	0.0064	0.0269	0.9958	0.0042	0.0	1.0
154303710	0.0137	0.0263	0.0159	0.9441	0.7484	0.2516	0.0046	0.9954
230853173	0.2439	0.0024	0.7534	0.0003	0.9408	0.0592	0.0	1.0
53272175	0.3441	0.5801	0.0482	0.0276	0.9982	0.0018	0.0002	0.9998
119385429	0.0014	0.003	0.0001	0.9955	0.0002	0.9998	0.0004	0.9996
69988658	0.0305	0.9643	0.0005	0.0047	0.9899	0.0101	0.0	1.0
3369903820	0.8989	0.0466	0.0461	0.0084	0.9833	0.0167	0.0025	0.9975
18150416	0.0242	0.0848	0.0157	0.8754	0.727	0.273	0.9805	0.0195
226184450	0.3872	0.5128	0.0806	0.0195	0.0013	0.9987	0.0001	0.9999
305334293	0.8078	0.0022	0.1882	0.0018	0.999	0.001	0.0	1.0
32191845	0.0268	0.0728	0.0108	0.8896	0.0028	0.9972	0.0002	0.9998
145641469	0.7244	0.2714	0.0024	0.0018	0.0024	0.9976	0.0	1.0
19314849	0.6894	0.1911	0.0614	0.0581	0.002	0.998	0.0	1.0
3403507217	0.2828	0.0064	0.6976	0.0133	0.9622	0.0378	0.0	1.0
389586041	0.0145	0.0012	0.0012	0.983	0.0029	0.9971	0.0	1.0
3183313296	0.7573	0.1814	0.0559	0.0055	0.9921	0.0079	0.0	1.0
19050204	0.0297	0.9458	0.0025	0.022	0.0023	0.9977	0.0	1.0
454953482	0.0029	0.0123	0.0001	0.9847	0.0006	0.9994	0.0001	0.9999
2183457144	0.0014	0.0674	0.0001	0.9312	0.0055	0.9945	0.0	1.0
466871138	0.8225	0.0004	0.1765	0.0006	0.9815	0.0185	0.0	1.0
2827584287	0.5059	0.0053	0.4877	0.0011	0.9901	0.0099	0.0	1.0
386817479	0.5069	0.0047	0.4827	0.0056	0.0148	0.9852	0.0	1.0
1000913245602017280	0.0001	0.0001	0.0001	0.9997	0.9994	0.0006	0.0011	0.9989
275851002	0.2821	0.0069	0.6904	0.0206	0.0084	0.9916	0.0003	0.9997
28094623	0.1046	0.7976	0.0061	0.0917	0.0036	0.9964	0.0	1.0
91205779	0.0104	0.977	0.0002	0.0123	0.0001	0.9999	0.0002	0.9998
26567750	0.9041	0.0494	0.0459	0.0005	0.9575	0.0425	0.0	1.0
224703845	0.0517	0.7278	0.0022	0.2182	0.0065	0.9935	0.0008	0.9992
343062486	0.0485	0.1713	0.0248	0.7554	0.0058	0.9942	0.0028	0.9972
79485369	0.8863	0.0028	0.1099	0.001	0.7003	0.2997	0.0003	0.9997
2837112390	0.0061	0.0086	0.0028	0.9825	0.0015	0.9985	0.0012	0.9988
78023465	0.7062	0.2207	0.0704	0.0026	0.9588	0.0412	0.0001	0.9999
783726731718975488	0.018	0.0195	0.0111	0.9514	0.0004	0.9996	0.0004	0.9996
114780626	0.0003	0.9994	0.0	0.0002	0.0	1.0	0.0001	0.9999
66126216	0.125	0.1779	0.0137	0.6834	0.0468	0.9532	0.0538	0.9462
373460457	0.6813	0.1227	0.1857	0.0103	0.0021	0.9979	0.0	1.0
169679451	0.3749	0.1071	0.1208	0.3972	0.0014	0.9986	0.0198	0.9802
323448661	0.3001	0.0055	0.6861	0.0083	0.0006	0.9994	0.0	1.0
14157496	0.0655	0.9318	0.0018	0.0009	0.9981	0.0019	0.0	1.0
413509852	0.012	0.095	0.0011	0.8919	0.0002	0.9998	0.0003	0.9997
252620528	0.038	0.0266	0.0069	0.9285	0.0035	0.9965	0.0022	0.9978
18210105	0.2389	0.5521	0.0233	0.1856	0.0045	0.9955	0.0	1.0
934251866417803264	0.58	0.1386	0.2211	0.0603	0.0361	0.9639	0.0001	0.9999
186122171	0.004	0.9212	0.0003	0.0745	0.0005	0.9995	0.0004	0.9996
18212383	0.5086	0.4422	0.0396	0.0095	0.9963	0.0037	0.0	1.0
2784103056	0.0482	0.9302	0.004	0.0176	0.0007	0.9993	0.0	1.0
872307345463881729	0.0855	0.0013	0.9128	0.0004	0.7312	0.2688	0.0001	0.9999
1040794177	0.6029	0.1842	0.1038	0.109	0.9984	0.0016	0.0023	0.9977
590010917	0.126	0.4446	0.0345	0.3949	0.0087	0.9913	0.874	0.126
9356072	0.0001	0.0001	0.0001	0.9997	0.0036	0.9964	0.0005	0.9995
9356072	0.0001	0.0001	0.0001	0.9997	0.0036	0.9964	0.0005	0.9995
2822687688	0.0454	0.9499	0.0006	0.0041	0.9982	0.0018	0.0	1.0
272748500	0.6455	0.2911	0.0355	0.0279	0.0007	0.9993	0.0	1.0
63899988	0.4868	0.002	0.508	0.0032	0.9718	0.0282	0.0	1.0
2210964943	0.0767	0.0041	0.9173	0.0019	0.9992	0.0008	0.0001	0.9999
26562329	0.0068	0.0251	0.0005	0.9676	0.0004	0.9996	0.0002	0.9998
364435649	0.0232	0.9559	0.0141	0.0068	0.0037	0.9963	0.0	1.0
221885534	0.1656	0.1876	0.0469	0.5999	0.7205	0.2795	0.0001	0.9999
98549950	0.0012	0.0006	0.0005	0.9976	0.0008	0.9992	0.0014	0.9986
1070634499	0.0044	0.0013	0.0006	0.9936	0.0004	0.9996	0.0001	0.9999
322697427	0.0055	0.9926	0.0008	0.0012	0.0008	0.9992	0.0	1.0
104688908	0.1002	0.8279	0.0156	0.0563	0.0038	0.9962	0.0001	0.9999
137191499	0.0046	0.989	0.0001	0.0063	0.999	0.001	0.0002	0.9998
389586041	0.0145	0.0012	0.0012	0.983	0.0029	0.9971	0.0	1.0
261675973	0.6899	0.0254	0.269	0.0156	0.987	0.013	0.0	1.0
929972286140100608	0.6422	0.0562	0.2872	0.0144	0.3264	0.6736	0.0002	0.9998
352500218	0.0042	0.9946	0.0	0.0011	0.0181	0.9819	0.0	1.0
14259704	0.03	0.8195	0.0066	0.1438	0.0951	0.9049	0.0001	0.9999
2423001034	0.0211	0.105	0.0264	0.8474	0.0004	0.9996	0.0013	0.9987
464091536	0.6544	0.2641	0.0582	0.0233	0.0013	0.9987	0.4016	0.5984
3094472005	0.1417	0.3698	0.0212	0.4672	0.0014	0.9986	0.0001	0.9999
713996536972054529	0.2344	0.727	0.0124	0.0261	0.0001	0.9999	0.0	1.0
1209914623	0.0153	0.0005	0.9838	0.0004	0.0071	0.9929	0.0	1.0
104861073	0.1934	0.5311	0.0457	0.2297	0.0054	0.9946	0.0	1.0
2687911705	0.5999	0.0261	0.3678	0.0063	0.9755	0.0245	0.0	1.0
130343768	0.093	0.9039	0.003	0.0001	0.1861	0.8139	0.0	1.0
24534883	0.1325	0.184	0.0263	0.6571	0.0023	0.9977	0.7251	0.2749
2867822267	0.008	0.9899	0.0013	0.0009	0.0008	0.9992	0.0	1.0
22457157	0.2004	0.7885	0.0086	0.0025	0.0515	0.9485	0.0	1.0
385995889	0.8148	0.0793	0.0095	0.0965	0.0013	0.9987	0.0002	0.9998
416283922	0.4704	0.3542	0.0084	0.1671	0.991	0.009	0.0001	0.9999
2240659366	0.0001	0.0004	0.0	0.9995	0.0001	0.9999	0.0006	0.9994
143926515	0.105	0.1258	0.0217	0.7474	0.9378	0.0622	0.9527	0.0473
