user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
21865691	0.0036	0.0198	0.0011	0.9755	0.9981	0.0019	0.0002	0.9998
49578394	0.0367	0.87	0.0011	0.0923	0.0003	0.9997	0.0004	0.9996
190100554	0.8658	0.0869	0.0341	0.0132	0.0883	0.9117	0.0	1.0
112294392	0.3785	0.3925	0.22	0.0091	0.2005	0.7995	0.1994	0.8006
790973697624514560	0.0002	0.9991	0.0005	0.0002	0.9978	0.0022	0.0002	0.9998
584984159	0.0171	0.9791	0.0012	0.0027	0.0019	0.9981	0.0	1.0
105619780	0.0002	0.0006	0.0	0.9991	0.0002	0.9998	0.0001	0.9999
217099144	0.0007	0.0043	0.0009	0.9941	0.0031	0.9969	0.0001	0.9999
226184450	0.3872	0.5128	0.0806	0.0195	0.0013	0.9987	0.0001	0.9999
463929657	0.722	0.0383	0.2256	0.0141	0.1242	0.8758	0.0002	0.9998
3047697902	0.5752	0.0197	0.3733	0.0318	0.8488	0.1512	0.001	0.999
24445874	0.1091	0.8716	0.0042	0.015	0.0009	0.9991	0.0004	0.9996
3909227593	0.3168	0.6388	0.0311	0.0133	0.9918	0.0082	0.0	1.0
1268337206	0.1058	0.306	0.0416	0.5465	0.9991	0.0009	0.0	1.0
25480004	0.0206	0.9755	0.0005	0.0035	0.0004	0.9996	0.0001	0.9999
268440003	0.2855	0.204	0.0419	0.4685	0.9973	0.0027	0.0029	0.9971
302394190	0.4596	0.463	0.0174	0.0599	0.0012	0.9988	0.0	1.0
32278972	0.0455	0.944	0.001	0.0094	0.9978	0.0022	0.0001	0.9999
1537636291	0.5777	0.0102	0.2452	0.1669	0.0124	0.9876	0.0	1.0
40809678	0.0117	0.2425	0.0017	0.7441	0.0001	0.9999	0.0004	0.9996
15218484	0.5461	0.3177	0.0838	0.0523	0.9825	0.0175	0.0	1.0
243376642	0.3475	0.3649	0.2473	0.0403	0.0406	0.9594	0.008	0.992
924914112	0.4332	0.4851	0.0153	0.0663	0.0009	0.9991	0.0001	0.9999
