user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
55516160	0.0008	0.0006	0.0008	0.9978	0.0003	0.9997	0.0001	0.9999
412528910	0.0094	0.9756	0.0013	0.0137	0.0047	0.9953	0.0001	0.9999
2739981555	0.0014	0.0168	0.0003	0.9815	0.9992	0.0008	0.0002	0.9998
222249924	0.0003	0.0003	0.0002	0.9993	0.0004	0.9996	0.0002	0.9998
794471897622843392	0.5121	0.0129	0.0841	0.3909	0.1021	0.8979	0.0	1.0
187626274	0.393	0.0017	0.4855	0.1198	0.0012	0.9988	0.0	1.0
105319446	0.0451	0.7113	0.0055	0.238	0.006	0.994	0.0	1.0
846107680779489280	0.0064	0.0034	0.0009	0.9893	0.1885	0.8115	0.9246	0.0754
1161583056878297089	0.0056	0.0041	0.0172	0.9732	0.0033	0.9967	0.354	0.646
631905763	0.8175	0.1668	0.002	0.0137	0.993	0.007	0.0003	0.9997
1089565034085273600	0.3572	0.0674	0.217	0.3584	0.1195	0.8805	0.961	0.039
38864233	0.6771	0.255	0.0247	0.0432	0.9982	0.0018	0.0001	0.9999
323272214	0.0109	0.0269	0.0061	0.9561	0.0845	0.9155	0.9691	0.0309
116725227	0.0548	0.0494	0.0269	0.8689	0.394	0.606	0.8743	0.1257
1851438235	0.0004	0.0002	0.0002	0.9993	0.0018	0.9982	0.8179	0.1821
3946474342	0.2308	0.4496	0.2921	0.0274	0.1306	0.8694	0.0005	0.9995
1004059271024300032	0.0068	0.0318	0.0007	0.9607	0.998	0.002	0.0372	0.9628
1591390472	0.2759	0.3127	0.0448	0.3666	0.6092	0.3908	0.9045	0.0955
96983251	0.0017	0.0168	0.0011	0.9805	0.0016	0.9984	0.0003	0.9997
128959192	0.0272	0.057	0.0044	0.9115	0.0003	0.9997	0.0	1.0
173734879	0.0392	0.9379	0.0034	0.0195	0.1845	0.8155	0.9258	0.0742
146471079	0.0308	0.9483	0.0024	0.0185	0.9908	0.0092	0.0001	0.9999
31704088	0.5319	0.0235	0.4421	0.0025	0.9897	0.0103	0.0	1.0
3084123082	0.0578	0.8995	0.0069	0.0358	0.0114	0.9886	0.0	1.0
23476306	0.1666	0.7837	0.0453	0.0044	0.9178	0.0822	0.002	0.998
18879033	0.8436	0.1419	0.0032	0.0114	0.6	0.4	0.0	1.0
218524916	0.5578	0.1397	0.1135	0.1891	0.012	0.988	0.0	1.0
2892564533	0.0102	0.6071	0.0013	0.3814	0.0001	0.9999	0.0	1.0
102006424	0.0008	0.0018	0.0004	0.997	0.0016	0.9984	0.0001	0.9999
23349627	0.1297	0.7347	0.0023	0.1333	0.0015	0.9985	0.0002	0.9998
1640686730	0.2931	0.0062	0.7003	0.0005	0.1667	0.8333	0.0002	0.9998
18354502	0.5731	0.151	0.1782	0.0978	0.0034	0.9966	0.0007	0.9993
843534078527885314	0.9823	0.0013	0.0149	0.0015	0.6321	0.3679	0.0	1.0
1441268942	0.2678	0.0827	0.065	0.5845	0.3296	0.6704	0.0014	0.9986
499858608	0.0089	0.9889	0.0002	0.002	0.9968	0.0032	0.0001	0.9999
1444253772	0.0004	0.0072	0.0002	0.9922	0.9992	0.0008	0.0001	0.9999
