user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
1631199684	0.5502	0.0058	0.443	0.0011	0.9954	0.0046	0.0	1.0
223499165	0.0026	0.0076	0.0011	0.9888	0.9971	0.0029	0.0001	0.9999
110832167	0.4539	0.1936	0.3339	0.0187	0.258	0.742	0.907	0.093
35481222	0.9909	0.0042	0.0005	0.0044	0.004	0.996	0.0	1.0
19108731	0.0	0.0	0.0	0.9999	0.0027	0.9973	0.0024	0.9976
1048239463581868033	0.0215	0.0388	0.0066	0.9331	0.0009	0.9991	0.0006	0.9994
117443341	0.0489	0.3895	0.0208	0.5408	0.0011	0.9989	0.0025	0.9975
438908696	0.5136	0.2285	0.1444	0.1135	0.0007	0.9993	0.0001	0.9999
1171063129557614592	0.6138	0.0149	0.3545	0.0168	0.2386	0.7614	0.0	1.0
145882152	0.9765	0.0082	0.0133	0.002	0.9975	0.0025	0.0	1.0
1631784584	0.7292	0.0764	0.1412	0.0532	0.981	0.019	0.0004	0.9996
1194661610	0.2846	0.2079	0.0665	0.441	0.9901	0.0099	0.0002	0.9998
68818260	0.3234	0.5661	0.0411	0.0694	0.0315	0.9685	0.0005	0.9995
189775236	0.4786	0.0181	0.4965	0.0068	0.937	0.063	0.0	1.0
713855869226618880	0.0692	0.0009	0.1557	0.7741	0.0008	0.9992	0.0017	0.9983
33106308	0.0328	0.0222	0.0183	0.9267	0.0012	0.9988	0.0012	0.9988
195396716	0.1634	0.8301	0.0004	0.0061	0.9859	0.0141	0.0033	0.9967
1136704674139164679	0.3502	0.0028	0.6143	0.0326	0.9959	0.0041	0.0	1.0
797647608697196544	0.7156	0.0241	0.2455	0.0147	0.9586	0.0414	0.0	1.0
54913164	0.2469	0.5866	0.1565	0.01	0.0063	0.9937	0.0	1.0
24089735	0.0002	0.0003	0.0002	0.9993	0.0079	0.9921	0.0003	0.9997
904393761177952259	0.2081	0.7901	0.0013	0.0006	0.0014	0.9986	0.0	1.0
67181797	0.5131	0.4192	0.0267	0.041	0.0002	0.9998	0.0001	0.9999
489507027	0.0002	0.0518	0.0	0.948	0.0004	0.9996	0.0004	0.9996
35268422	0.5907	0.2609	0.1111	0.0372	0.0004	0.9996	0.0	1.0
38261458	0.2655	0.0039	0.1004	0.6302	0.2587	0.7413	0.0	1.0
147044082	0.1985	0.5138	0.0161	0.2715	0.9988	0.0012	0.0002	0.9998
826659282863144961	0.2819	0.4058	0.0651	0.2472	0.0096	0.9904	0.0413	0.9587
14837618	0.0674	0.8621	0.0048	0.0657	0.0034	0.9966	0.0	1.0
933825113019047936	0.2206	0.0114	0.7613	0.0067	0.7881	0.2119	0.0001	0.9999
27510192	0.0028	0.8902	0.0	0.107	0.0003	0.9997	0.0105	0.9895
364746080	0.9156	0.0724	0.0104	0.0016	0.9714	0.0286	0.0	1.0
4713722066	0.5481	0.0098	0.4415	0.0007	0.3817	0.6183	0.0	1.0
2236864651	0.7725	0.1589	0.0639	0.0047	0.0037	0.9963	0.0	1.0
613103718	0.0124	0.9839	0.0017	0.002	0.0012	0.9988	0.0	1.0
870300721	0.0	0.0002	0.0001	0.9997	0.0	1.0	0.0001	0.9999
3302090408	0.03	0.0024	0.9052	0.0625	0.9004	0.0996	0.003	0.997
246076502	0.9507	0.0167	0.0215	0.011	0.6578	0.3422	0.0002	0.9998
77398777	0.0373	0.9429	0.0028	0.0171	0.9964	0.0036	0.0004	0.9996
