user.id	output.age.19-29	output.age.30-39	output.age.<=18	output.age.>=40	output.gender.female	output.gender.male	output.org.is-org	output.org.non-org
256337958	0.3056	0.0329	0.5794	0.0821	0.109	0.891	0.1732	0.8268
3311526940	0.9472	0.0319	0.0178	0.0031	0.0009	0.9991	0.0	1.0
271446211	0.0004	0.0008	0.0001	0.9987	0.0002	0.9998	0.0027	0.9973
161171480	0.012	0.0355	0.0017	0.9508	0.9935	0.0065	0.0018	0.9982
802578447830810626	0.0715	0.5493	0.0161	0.3631	0.0669	0.9331	0.8958	0.1042
1022756269	0.6021	0.0844	0.2318	0.0817	0.0112	0.9888	0.0027	0.9973
1220478170	0.0449	0.6753	0.0169	0.2628	0.0135	0.9865	0.0001	0.9999
1050759990	0.6472	0.0168	0.3239	0.0121	0.741	0.259	0.0203	0.9797
401074941	0.9001	0.0026	0.0968	0.0005	0.0397	0.9603	0.0	1.0
6077902	0.1852	0.709	0.0389	0.0669	0.9945	0.0055	0.0001	0.9999
15578689	0.4709	0.3463	0.123	0.0598	0.0707	0.9293	0.0058	0.9942
2870046825	0.6747	0.1713	0.1052	0.0488	0.9856	0.0144	0.0	1.0
4055879920	0.0165	0.5396	0.0047	0.4393	0.0008	0.9992	0.0	1.0
2314941199	0.4476	0.0337	0.4905	0.0281	0.5722	0.4278	0.0002	0.9998
983710625334521856	0.5062	0.0401	0.443	0.0106	0.543	0.457	0.4058	0.5942
868477524430508032	0.0615	0.0429	0.0152	0.8804	0.0001	0.9999	0.0001	0.9999
69037009	0.005	0.0177	0.0002	0.9771	0.0007	0.9993	0.0004	0.9996
49560047	0.7706	0.0471	0.1807	0.0016	0.0053	0.9947	0.0	1.0
17042505	0.0149	0.0109	0.0035	0.9707	0.3504	0.6496	0.9368	0.0632
90319504	0.0012	0.0097	0.0003	0.9888	0.0001	0.9999	0.0019	0.9981
208830609	0.0005	0.9989	0.0002	0.0004	0.0063	0.9937	0.0	1.0
961303745454723072	0.2979	0.0127	0.675	0.0144	0.0317	0.9683	0.9046	0.0954
33481932	0.5794	0.1353	0.0514	0.2339	0.0948	0.9052	0.0	1.0
987330299515293696	0.2383	0.7056	0.0068	0.0493	0.9917	0.0083	0.0002	0.9998
1095581338910875648	0.7233	0.0034	0.1119	0.1613	0.9992	0.0008	0.0001	0.9999
2886788221	0.2166	0.0013	0.7802	0.0019	0.9233	0.0767	0.0	1.0
1069082257464352769	0.4326	0.0313	0.5268	0.0093	0.0003	0.9997	0.0	1.0
449261850	0.0877	0.152	0.0057	0.7546	0.9994	0.0006	0.001	0.999
809487	0.0002	0.0002	0.0002	0.9995	0.0005	0.9995	0.0	1.0
16733685	0.7719	0.0625	0.0052	0.1603	0.0008	0.9992	0.0	1.0
2943038464	0.3114	0.2538	0.3844	0.0504	0.003	0.997	0.0698	0.9302
1179869912	0.0257	0.4534	0.0996	0.4214	0.0002	0.9998	0.0455	0.9545
53225826	0.8931	0.0513	0.0501	0.0055	0.0473	0.9527	0.0	1.0
8614022	0.1726	0.7786	0.0084	0.0403	0.9906	0.0094	0.0	1.0
1125217865773142017	0.0436	0.0	0.9562	0.0001	0.3732	0.6268	0.0	1.0
751296172128542720	0.6966	0.1203	0.1554	0.0277	0.0007	0.9993	0.0	1.0
373952660	0.3685	0.1899	0.0854	0.3561	0.0023	0.9977	0.0009	0.9991
174391423	0.8805	0.0438	0.0554	0.0203	0.0236	0.9764	0.0	1.0
1158488918204932096	0.6511	0.0359	0.3071	0.0059	0.9299	0.0701	0.0	1.0
198230823	0.3538	0.0391	0.581	0.0261	0.8385	0.1615	0.0008	0.9992
3013274462	0.8688	0.0619	0.0654	0.0039	0.0026	0.9974	0.0	1.0
3390118933	0.8245	0.1693	0.0054	0.0008	0.0186	0.9814	0.0	1.0
1240314073193091072	0.5842	0.0247	0.1207	0.2704	0.9942	0.0058	0.0	1.0
35808375	0.3351	0.591	0.0248	0.0491	0.9994	0.0006	0.0007	0.9993
19198524	0.2304	0.2826	0.2503	0.2367	0.5077	0.4923	0.9682	0.0318
3029413990	0.18	0.7547	0.0136	0.0517	0.0004	0.9996	0.0001	0.9999
1669380546	0.3741	0.6005	0.0158	0.0096	0.9778	0.0222	0.0	1.0
14400049	0.9186	0.0293	0.002	0.0501	0.9998	0.0002	0.0	1.0
183109835	0.0	0.0003	0.0	0.9997	0.0002	0.9998	0.0049	0.9951
24980435	0.0002	0.0001	0.0002	0.9996	0.0009	0.9991	0.0001	0.9999
734617262506774528	0.4859	0.1797	0.1566	0.1778	0.8633	0.1367	0.2929	0.7071
1157026075593125889	0.7345	0.0722	0.1012	0.092	0.9993	0.0007	0.0	1.0
31296080	0.0012	0.002	0.0063	0.9905	0.999	0.001	0.0002	0.9998
871147813098237952	0.8399	0.0996	0.0496	0.0109	0.9896	0.0104	0.0	1.0
3718081396	0.9347	0.0112	0.0469	0.0073	0.9767	0.0233	0.0001	0.9999
2263445113	0.656	0.048	0.1634	0.1326	0.0023	0.9977	0.0	1.0
2190806527	0.0002	0.0002	0.0	0.9996	0.1849	0.8151	0.7875	0.2125
1045698144267366400	0.0767	0.9011	0.0035	0.0188	0.0241	0.9759	0.0001	0.9999
50179868	0.9824	0.0072	0.0102	0.0002	0.9927	0.0073	0.0	1.0
380159745	0.4783	0.0514	0.4651	0.0052	0.0071	0.9929	0.0	1.0
143991014	0.0012	0.7018	0.0001	0.2968	0.0007	0.9993	0.0	1.0
401074941	0.9001	0.0026	0.0968	0.0005	0.0397	0.9603	0.0	1.0
199805006	0.1344	0.3003	0.1568	0.4085	0.0008	0.9992	0.0045	0.9955
270136245	0.577	0.1017	0.1259	0.1954	0.0006	0.9994	0.0004	0.9996
106781614	0.0005	0.0192	0.0004	0.9799	0.5544	0.4456	0.4549	0.5451
62950346	0.2535	0.0304	0.1285	0.5877	0.9163	0.0837	0.0116	0.9884
193771925	0.944	0.0018	0.0521	0.0021	0.996	0.004	0.0	1.0
177320650	0.7367	0.0058	0.2425	0.015	0.911	0.089	0.0	1.0
1096819323929350145	0.5831	0.0085	0.4059	0.0024	0.9396	0.0604	0.0	1.0
1396166114	0.377	0.0978	0.4671	0.058	0.979	0.021	0.0001	0.9999
282400397	0.3396	0.0024	0.657	0.001	0.9315	0.0685	0.0	1.0
