TweetID	WorkerID_1	Label1	WorkerID_2	Label2	WorkerID_3	Label3
AXQWKUJF7SQXP	1197551842638680065	1	AXQWKUJF7SQXP	1	AE03LUY7RH400	1
AXQWKUJF7SQXP	1265884585679826944	3	AXQWKUJF7SQXP	1	AE03LUY7RH400	1
A681XM15AN28F	1241083023774429187	2	A1CF6U3GF7DZEJ	4	A681XM15AN28F	2
A681XM15AN28F	1197903463151046656	1	A1CF6U3GF7DZEJ	1	A681XM15AN28F	2
A681XM15AN28F	1231777788937502721	4	A1CF6U3GF7DZEJ	4	A681XM15AN28F	2
AXQWKUJF7SQXP	1197007642050355200	2	AXQWKUJF7SQXP	4	A681XM15AN28F	4
AXQWKUJF7SQXP	1197157752583458817	2	AXQWKUJF7SQXP	3	A681XM15AN28F	2
AXQWKUJF7SQXP	1155578052564246528	1	AXQWKUJF7SQXP	2	A681XM15AN28F	4
A16FY9L7QTDNRW	1174480048402903046	4	A16FY9L7QTDNRW	4	A1CF6U3GF7DZEJ	1
A16FY9L7QTDNRW	1202211292016197633	4	A16FY9L7QTDNRW	4	A1CF6U3GF7DZEJ	4
A16FY9L7QTDNRW	1184491000401666050	2	A16FY9L7QTDNRW	2	A1CF6U3GF7DZEJ	1
AEF601SQFOSBL	1241228967132135424	4	A1CF6U3GF7DZEJ	1	AXQWKUJF7SQXP	2
AEF601SQFOSBL	1162401560762044416	1	A1CF6U3GF7DZEJ	1	AXQWKUJF7SQXP	2
AEF601SQFOSBL	1197802192805269505	1	A1CF6U3GF7DZEJ	1	AXQWKUJF7SQXP	1
A681XM15AN28F	1241083432287027202	4	AE03LUY7RH400	4	A681XM15AN28F	4
A681XM15AN28F	1235001553523822599	4	AE03LUY7RH400	1	A681XM15AN28F	4
A681XM15AN28F	1162489053448679424	2	AE03LUY7RH400	2	A681XM15AN28F	2
A16FY9L7QTDNRW	1155587622774943745	2	A681XM15AN28F	1	A681XM15AN28F	2
A16FY9L7QTDNRW	1196625088809984002	3	A681XM15AN28F	4	A681XM15AN28F	2
A16FY9L7QTDNRW	1174455120844578817	1	A681XM15AN28F	1	A681XM15AN28F	1
AXQWKUJF7SQXP	1241061920016347137	2	A16FY9L7QTDNRW	1	AE03LUY7RH400	1
AXQWKUJF7SQXP	1162187937351520257	2	A16FY9L7QTDNRW	2	AE03LUY7RH400	4
AXQWKUJF7SQXP	1245403170978832388	2	A16FY9L7QTDNRW	2	AE03LUY7RH400	1
A681XM15AN28F	1196969255906009091	1	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	2
A681XM15AN28F	1155233630958096384	3	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4
A681XM15AN28F	1196602202686554112	5	A16FY9L7QTDNRW	4	A16FY9L7QTDNRW	4
A1CF6U3GF7DZEJ	1196974101837074432	1	A3GUJ6JD25FX7O	1	A16FY9L7QTDNRW	1
A1CF6U3GF7DZEJ	1196630506793840645	1	A3GUJ6JD25FX7O	1	A16FY9L7QTDNRW	1
A1CF6U3GF7DZEJ	1197850796920057856	1	A3GUJ6JD25FX7O	2	A16FY9L7QTDNRW	2
AXQWKUJF7SQXP	1197711669167673345	2	A5BMA5POGL8DW	1	A681XM15AN28F	2
AXQWKUJF7SQXP	1196513436869562369	2	A5BMA5POGL8DW	1	A681XM15AN28F	4
AXQWKUJF7SQXP	1184494131361599491	1	A5BMA5POGL8DW	4	A681XM15AN28F	3
A16FY9L7QTDNRW	1155323256653713409	1	A1CF6U3GF7DZEJ	1	A681XM15AN28F	2
A16FY9L7QTDNRW	1196550546296991744	3	A1CF6U3GF7DZEJ	1	A681XM15AN28F	1
A16FY9L7QTDNRW	1241091655534608387	1	A1CF6U3GF7DZEJ	1	A681XM15AN28F	1
A3P7M9666KJCP	1197697005285453825	2	AEF601SQFOSBL	2	A681XM15AN28F	2
A3P7M9666KJCP	1240851844680650754	1	AEF601SQFOSBL	1	A681XM15AN28F	2
A3P7M9666KJCP	1231783704051224576	4	AEF601SQFOSBL	4	A681XM15AN28F	3
AXQWKUJF7SQXP	1231352623204192258	1	AXQWKUJF7SQXP	1	A1CF6U3GF7DZEJ	1
AXQWKUJF7SQXP	1273587043365519367	3	AXQWKUJF7SQXP	3	A1CF6U3GF7DZEJ	4
AXQWKUJF7SQXP	1263826614913122306	1	AXQWKUJF7SQXP	1	A1CF6U3GF7DZEJ	1
AXQWKUJF7SQXP	1174496951771049986	2	A3PBZQQIFK4MI8	1	A16FY9L7QTDNRW	1
AXQWKUJF7SQXP	1196600430681317376	1	A3PBZQQIFK4MI8	1	A16FY9L7QTDNRW	2
AXQWKUJF7SQXP	1241040886374563841	4	A3PBZQQIFK4MI8	4	A16FY9L7QTDNRW	4
A681XM15AN28F	1197715167011835906	2	A3P7M9666KJCP	2	A1CF6U3GF7DZEJ	1
A681XM15AN28F	1197590837074415616	1	A3P7M9666KJCP	2	A1CF6U3GF7DZEJ	1
A681XM15AN28F	1155215848602263554	4	A3P7M9666KJCP	1	A1CF6U3GF7DZEJ	1
AXQWKUJF7SQXP	1197632908913102848	1	A3GUJ6JD25FX7O	1	A681XM15AN28F	2
AXQWKUJF7SQXP	1241127814872653828	2	A3GUJ6JD25FX7O	1	A681XM15AN28F	2
AXQWKUJF7SQXP	1204262350632734720	3	A3GUJ6JD25FX7O	4	A681XM15AN28F	4
AXQWKUJF7SQXP	1245462808122146817	1	A3P7M9666KJCP	2	AWIPMIAD5U5MP	4
AXQWKUJF7SQXP	1197343099539865600	2	A3P7M9666KJCP	1	AWIPMIAD5U5MP	4
AXQWKUJF7SQXP	1264408735889469441	4	A3P7M9666KJCP	2	AWIPMIAD5U5MP	1
A1CF6U3GF7DZEJ	1197216884992512000	1	A1CF6U3GF7DZEJ	1	A1CF6U3GF7DZEJ	5
A1CF6U3GF7DZEJ	1197651196191875073	1	A1CF6U3GF7DZEJ	1	A1CF6U3GF7DZEJ	1
A1CF6U3GF7DZEJ	1196361671058640896	1	A1CF6U3GF7DZEJ	1	A1CF6U3GF7DZEJ	1
A16FY9L7QTDNRW	1245475527416328192	2	A1CF6U3GF7DZEJ	1	AWIPMIAD5U5MP	1
A16FY9L7QTDNRW	1240864509276966912	2	A1CF6U3GF7DZEJ	1	AWIPMIAD5U5MP	1
A16FY9L7QTDNRW	1155488446527549440	2	A1CF6U3GF7DZEJ	2	AWIPMIAD5U5MP	4
A3GUJ6JD25FX7O	1197008955177918465	4	A1CF6U3GF7DZEJ	3	A2LN42YO5UY41W	3
A3GUJ6JD25FX7O	1232026420681072642	1	A1CF6U3GF7DZEJ	1	A2LN42YO5UY41W	4
A3GUJ6JD25FX7O	1196512421483044869	1	A1CF6U3GF7DZEJ	1	A2LN42YO5UY41W	5
A2WNW8A4MOR7T7	1232021486287847425	4	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	2
A2WNW8A4MOR7T7	1174622131860201472	2	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	2
A2WNW8A4MOR7T7	1245528690878033922	1	A16FY9L7QTDNRW	2	A16FY9L7QTDNRW	2
A3GUJ6JD25FX7O	1245568213297115136	1	A3P7M9666KJCP	1	A681XM15AN28F	1
A3GUJ6JD25FX7O	1196632383874842624	1	A3P7M9666KJCP	1	A681XM15AN28F	1
A3GUJ6JD25FX7O	1245524385198374912	1	A3P7M9666KJCP	1	A681XM15AN28F	3
A3PBZQQIFK4MI8	1155325291155189760	4	A681XM15AN28F	4	A681XM15AN28F	4
A3PBZQQIFK4MI8	1235095033881100289	4	A681XM15AN28F	1	A681XM15AN28F	1
A3PBZQQIFK4MI8	1162315112058884096	4	A681XM15AN28F	2	A681XM15AN28F	2
AXQWKUJF7SQXP	1197836422276882433	2	A16FY9L7QTDNRW	2	AEF601SQFOSBL	2
AXQWKUJF7SQXP	1197345174432600064	1	A16FY9L7QTDNRW	4	AEF601SQFOSBL	2
AXQWKUJF7SQXP	1197083938960732161	1	A16FY9L7QTDNRW	2	AEF601SQFOSBL	4
A16FY9L7QTDNRW	1196360234165399554	2	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	2
A16FY9L7QTDNRW	1241099746711760896	2	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	2
A16FY9L7QTDNRW	1155641307232112640	2	A1CF6U3GF7DZEJ	1	A16FY9L7QTDNRW	2
AE03LUY7RH400	1204487932486332417	2	AE03LUY7RH400	2	AXQWKUJF7SQXP	2
AE03LUY7RH400	1197170734432477184	1	AE03LUY7RH400	4	AXQWKUJF7SQXP	1
AE03LUY7RH400	1263838578188132352	3	AE03LUY7RH400	1	AXQWKUJF7SQXP	4
AXQWKUJF7SQXP	1265838083775356928	4	AXQWKUJF7SQXP	1	AEF601SQFOSBL	3
AXQWKUJF7SQXP	1204465911245217792	4	AXQWKUJF7SQXP	4	AEF601SQFOSBL	4
AXQWKUJF7SQXP	1204231334832562176	4	AXQWKUJF7SQXP	4	AEF601SQFOSBL	4
A681XM15AN28F	1235069802747580418	3	A681XM15AN28F	3	AXQWKUJF7SQXP	1
A681XM15AN28F	1263666152644808705	4	A681XM15AN28F	4	AXQWKUJF7SQXP	1
A681XM15AN28F	1155295369883860992	2	A681XM15AN28F	2	AXQWKUJF7SQXP	2
ADAGUJNWMEPT6	1231859614699753473	4	A681XM15AN28F	1	A16FY9L7QTDNRW	1
ADAGUJNWMEPT6	1231803252259213312	4	A681XM15AN28F	4	A16FY9L7QTDNRW	2
ADAGUJNWMEPT6	1197214962755788800	4	A681XM15AN28F	4	A16FY9L7QTDNRW	4
A681XM15AN28F	1245566892892438528	2	AWIPMIAD5U5MP	4	AXQWKUJF7SQXP	1
A681XM15AN28F	1174459674877472768	4	AWIPMIAD5U5MP	4	AXQWKUJF7SQXP	1
A681XM15AN28F	1245635108024897537	4	AWIPMIAD5U5MP	4	AXQWKUJF7SQXP	1
A1CF6U3GF7DZEJ	1235046821870747649	1	A16FY9L7QTDNRW	1	A681XM15AN28F	4
A1CF6U3GF7DZEJ	1184472957319602176	3	A16FY9L7QTDNRW	3	A681XM15AN28F	3
A1CF6U3GF7DZEJ	1155518748570390529	4	A16FY9L7QTDNRW	3	A681XM15AN28F	3
AXQWKUJF7SQXP	1273403487775272966	4	A5BMA5POGL8DW	1	A681XM15AN28F	4
AXQWKUJF7SQXP	1235004097058795520	2	A5BMA5POGL8DW	2	A681XM15AN28F	1
AXQWKUJF7SQXP	1231775527167578112	2	A5BMA5POGL8DW	2	A681XM15AN28F	3
A3GUJ6JD25FX7O	1273607122983493633	1	A16FY9L7QTDNRW	1	AXQWKUJF7SQXP	2
A3GUJ6JD25FX7O	1197289021002485761	2	A16FY9L7QTDNRW	2	AXQWKUJF7SQXP	2
A3GUJ6JD25FX7O	1162371574827278336	1	A16FY9L7QTDNRW	2	AXQWKUJF7SQXP	2
A1CF6U3GF7DZEJ	1202231053819301893	1	A681XM15AN28F	4	AEF601SQFOSBL	4
A1CF6U3GF7DZEJ	1235072314858819585	4	A681XM15AN28F	4	AEF601SQFOSBL	4
