TweetID	WorkerID_1	Label1	WorkerID_2	Label2	WorkerID_3	Label3
AXQWKUJF7SQXP	1197061812669353984	2	A3M3HUU77NKTES	2	AXQWKUJF7SQXP	2
AXQWKUJF7SQXP	1196429031652110336	2	A3M3HUU77NKTES	4	AXQWKUJF7SQXP	1
A3GUJ6JD25FX7O	1245379465011703809	4	A39ZQZ2T5Z7JSB	4	AE03LUY7RH400	3
A3GUJ6JD25FX7O	1197043429559226368	2	A39ZQZ2T5Z7JSB	4	AE03LUY7RH400	3
A3GUJ6JD25FX7O	1263670261175521287	1	A39ZQZ2T5Z7JSB	1	AE03LUY7RH400	1
A681XM15AN28F	1245608385057132544	1	A681XM15AN28F	1	A3M3HUU77NKTES	2
A681XM15AN28F	1197547239985598465	1	A681XM15AN28F	3	A3M3HUU77NKTES	3
A681XM15AN28F	1245426667906088961	3	A681XM15AN28F	1	A3M3HUU77NKTES	3
A3GUJ6JD25FX7O	1155621899742973958	1	AXQWKUJF7SQXP	1	A681XM15AN28F	1
A3GUJ6JD25FX7O	1263664025633615874	2	AXQWKUJF7SQXP	3	A681XM15AN28F	4
A3GUJ6JD25FX7O	1204305758281560064	1	AXQWKUJF7SQXP	1	A681XM15AN28F	3
A2WNW8A4MOR7T7	1196649260781047808	1	A39ZQZ2T5Z7JSB	1	A16FY9L7QTDNRW	1
A2WNW8A4MOR7T7	1273457662085206017	1	A39ZQZ2T5Z7JSB	1	A16FY9L7QTDNRW	2
A2WNW8A4MOR7T7	1197381396681113600	2	A39ZQZ2T5Z7JSB	2	A16FY9L7QTDNRW	2
A3M3HUU77NKTES	1240990623970332672	3	AXQWKUJF7SQXP	3	A681XM15AN28F	1
A3M3HUU77NKTES	1155427905129918464	2	AXQWKUJF7SQXP	3	A681XM15AN28F	1
A3M3HUU77NKTES	1202045929110544384	2	AXQWKUJF7SQXP	3	A681XM15AN28F	1
AXQWKUJF7SQXP	1155478295179218945	1	A16FY9L7QTDNRW	4	A39ZQZ2T5Z7JSB	4
AXQWKUJF7SQXP	1265992758709411841	2	A16FY9L7QTDNRW	1	A39ZQZ2T5Z7JSB	1
AXQWKUJF7SQXP	1265889607394029569	2	A16FY9L7QTDNRW	1	A39ZQZ2T5Z7JSB	1
A39ZQZ2T5Z7JSB	1155210860949753856	1	A39ZQZ2T5Z7JSB	1	A3M3HUU77NKTES	2
A39ZQZ2T5Z7JSB	1265840635388391428	4	A39ZQZ2T5Z7JSB	4	A3M3HUU77NKTES	2
A39ZQZ2T5Z7JSB	1273292438975606784	2	A39ZQZ2T5Z7JSB	2	A3M3HUU77NKTES	2
A39ZQZ2T5Z7JSB	1196355325441511424	1	AXQWKUJF7SQXP	1	A39ZQZ2T5Z7JSB	1
A39ZQZ2T5Z7JSB	1184511969241550848	1	AXQWKUJF7SQXP	2	A39ZQZ2T5Z7JSB	1
